
User:              cat, Max Trys: 15
User:             joao, Max Trys: 21
User:            joana, Max Trys: 19
User:               ju, Max Trys: 16
User:         catarina, Max Trys: 26
User:            sofia, Max Trys: 17
User:           afonso, Max Trys: 21
User:          sofiane, Max Trys: 26
User:             sara, Max Trys: 27
User:               oi, Max Trys: 24
User:               as, Max Trys: 24
User:               la, Max Trys: 20
User:               zx, Max Trys: 12
User:              qwe, Max Trys: 10
User:             LALA, Max Trys: 14
User:            uuiui, Max Trys: 17
User:         lalalala, Max Trys: 23
User:           qooqqo, Max Trys: 17
User:            oqoqq, Max Trys: 29
User:            clara, Max Trys: 26
User:            klara, Max Trys: 25
User:       lalalalaer, Max Trys: 23
User:             koie, Max Trys: 25
User:            qwewq, Max Trys: 15
User:         katarina, Max Trys: 20
User:            lucas, Max Trys: 11
User:          juliaaa, Max Trys: 30
User:              cab, Max Trys: 20
User:           lqlqlq, Max Trys: 27
User:          asldsad, Max Trys: 29
User:              oia, Max Trys: 29
User:           asdsad, Max Trys: 16
User:             QUIT, Max Trys: 29
User:      Lucas Matos, Max Trys: 22
User:     David Samuel, Max Trys: 12
User:           Afonso, Max Trys: 13
User:           carlos, Max Trys: 25
User:            josef, Max Trys: 15
User:        kobra kai, Max Trys: 10
User:        botashake, Max Trys: 19
User:         josefina, Max Trys: 18
User:           Torres, Max Trys: 22
User:           carlee, Max Trys: 12
User:              kok, Max Trys: 14
User:               eu, Max Trys: 29
User:         kakakaka, Max Trys: 22
User:            kokcc, Max Trys: 22
User:        Couto crl, Max Trys: 13
User:             kiko, Max Trys: 13
User:             lola, Max Trys: 20
User:             kika, Max Trys: 24
User:          oialaaa, Max Trys: 15
User:           george, Max Trys: 20
User:           castro, Max Trys: 26
User:       josefinaaa, Max Trys: 24
User:             coco, Max Trys: 25
User:          cocaaaa, Max Trys: 23
User:    Afonso Torres, Max Trys: 21
User:      kike flores, Max Trys: 25
User:     asdasdazxzxz, Max Trys: 16
User:  josefina bicalc, Max Trys: 25
User:     carlos costa, Max Trys: 16
User:           afonxo, Max Trys: 15
User:            julee, Max Trys: 25
User:             cala, Max Trys: 12
User:             KASA, Max Trys: 21
User:            kalis, Max Trys: 27
User:          carllos, Max Trys: 22
User:            Luisa, Max Trys: 15
